labels	text
O O O O O O O O O O O O	we 're out of paint so take bathroom painting off the list
O O O O O O O O	check and confirm last thing said please .
O O O O O	i fancy some coffee now
O O O O O O O O O O	please can you rephrase me further on your answers .
O O O B_game_name	co play game monopoly
O O O O O O	how about you save this music
O O O O O	two thousand and seventeen movies
O O B_player_setting B_media_type B_audiobook_name I_audiobook_name	can you continue audiobook the circle
O O O O B_transport_agency O O O B_place_name O B_time I_time	could you please have uber be at my house in fifteen minutes
O O O O O O	please replay your last statement .
O O O B_house_place O O O O O O O B_color_type O	shut down the garage light and set the den light to orange please
O O O O O O O	olly please will you shut off .
O O O O O O B_date	do i have anything planned for today
O O O	light off now
O O B_device_type I_device_type O B_time	start the coffee machine at three
O O B_person O O O O O O O O O O O O O B_media_type	i heard ale just got married can you please show me the wedding pictures on their instagram
O O O O O O O O	is the answer of five plus two seven
O O O O O	great response to command .
O O O O B_business_name	show stock value of goog
B_player_setting I_player_setting B_audiobook_name I_audiobook_name	resume playing the miniaturist
O O O O O B_food_type B_business_type B_place_name I_place_name I_place_name I_place_name I_place_name	is there a well rated pizza place between fourteenth and eighteenth streets
O O B_device_type I_device_type I_device_type O B_time I_time B_date	start the robot vacuum cleaner at one pm today
O O O O B_player_setting I_player_setting O B_media_type O B_player_setting	i want you to fast forward the audio then resume
O B_email_address I_email_address I_email_address O O O O	add apahelp@yahoo dot com in my contact list
O O O	enter silence mode
O O O B_list_name O O B_date	read out my shopping list for today
O O O O B_business_name	have a moan at easyjet
O O O B_definition_word	look up a lamp
O O O B_device_type I_device_type	turn on new smart socket
O O B_device_type	disable my okug
O O O O O O O O	how many countries are in the european union
O O O O O O O	that 's useful , thank you .
O O O B_device_type	turn off the socket
O O O O O O O O O B_place_name	how many of my contacts live or work in detroit
O O O O O O O	tell me the name of this song
O O O O O O O O O	please would you replay your last phrase said .
O O O B_business_type O B_place_name I_place_name	is there any salon in babaji nagar
O O O B_person I_person	how old is barack obaba
O O O O O B_media_type B_date	is there anything exciting on twitter today
O O O O O O O O	elaborate me further on your answer please .
O O B_person O O O O O O O O O B_date	respond to graham and let him know that i will be free tomorrow
O O B_date I_date O O O O	what is tomorrow 's alarm time set to
O O	decrease brightness
O O O O O O O O O O O	how much would it cost to buy a share of target
O O O B_business_name	order food from applebees
O O O O B_weather_descriptor O O O O B_place_name O B_date	will I need a raincoat when I go to glasgow on sunday
O O B_list_name O O O O	find my shopping list and delete it
O O O O O O O O O O	please adjust the speakers to a lower more comfortable level
O O O O O O O O O	nope , it 's not the correct command .
O O O B_currency_name I_currency_name O O O B_currency_name	what is a canadian dollar worth in the us
O O O O B_date	what am i doing today
O O O O O O O O	who is the contact that last called me
O O B_movie_type I_movie_type O O O	recommend a romantic comedy in me area
O O O O O B_artist_name O O O O	you have to check out kfi he 's the best
O O O O O O O O	save my opinion about the current song playing
O O O O	will you reset .
O O B_date I_date I_date I_date I_date I_date	when is the third monday of this month
O O O O O O O O O B_house_place	can you please turn off the lights in this room
O B_list_name O	remove grocery list
O O O O O	tell me the local events
O O O O O O O O O	please will you clarify me more on it .
O O O B_business_name I_business_name	stock prices of rolls royce
O B_date I_date I_date B_event_name O O	remove twenty fourth march meeting from schedule
O O O O O	play this game with me
O O	goddammit .
O O O O O O O O	please show me the list that i have
O O B_house_place O B_color_type O O B_house_place O B_color_type O O	make the bedroom lights red and the hall lights normal color please
O B_song_name I_song_name I_song_name I_song_name O B_artist_name I_artist_name	play let me love you by ariana grande
B_device_type I_device_type I_device_type O	wemo plug socket on
O O O O O O B_place_name O B_place_name	Show me a traffic map from kamycka to dejvicka
O O B_coffee_type I_coffee_type	make me happy juice
O O O O O O B_radio_name I_radio_name I_radio_name I_radio_name	i 'd like to listen to ninety nine point five
O O O O B_media_type B_date	did anybody post on facebook today
O O O O O O O O O B_movie_name I_movie_name O	what is the nearest theatre that plays the new vin diesel movie
O O O O O O B_currency_name O O	what is the exchange rate for dollars to pounds
O O O O O O	does n't matter , olly .
O O B_podcast_descriptor I_podcast_descriptor O B_person I_person O	play the next episode of adele 's podcast
O O O O	fraud in weighing products
O O B_time I_time O	remove my six am alarm
O O O O	would n't know .
O B_app_name O O B_playlist_name I_playlist_name	open spotify and play list five
O O O	raise speaker volume
O O O O O	it 's too dark here
O O O B_device_type O O	turn on the roomba for me
O O O O O B_food_type	tell me how to make tacos
O O O O O O	save this song as a favorite
O O O O	start playlist for podcast
U_player_setting O O O B_audiobook_name	start chapter seven of alma
O O O O B_event_name	change the plan of meeting
O O O O O O	add this song to my catalogue
O O O O O B_list_name O	please add sugar to my grocery list
O O O B_definition_word O O	what does a geranium look like
O B_event_name I_event_name I_event_name	refer local current events
O O O O O B_news_topic O	keep me updated on the election results
O O O O B_date O B_place_name I_place_name I_place_name	what is the news today in polk county florida
O O O O O O B_radio_name O O O O	look for a radio station called rhythm on the frequency one
O O O B_device_type I_device_type I_device_type	initiate to operate robot vacuum cleaner
O O O O B_media_type	please submit status to facebook
O O O B_joke_type	tell me something funny
O B_business_name I_business_name O B_order_type	does pizza hut have delivery
O O O O	is my alarm set
O O O O O O O O O O	would not mind to select any one , olly .
O O O O O O O B_device_type I_device_type	what genre is most played on my music player
O O O O O O O O O	you are hero , thank you very much .
O O O O O O O O O O	the music of this song is very melodious and relaxing
O O O O O O O O O O O O O O O B_event_name	can you pull up the latest time so i wo n't be late for my appointment
O O O O O O O O	how much can i bleed before i die
O B_radio_name I_radio_name O B_radio_name I_radio_name I_radio_name	play rush limbaugh on ninety seven fm
O O O O O O O O	please would you speak one more again .
O O O O O O	yeap the command was exact .
O O O O O O O O O O	remind me to move so there is no weight gain
O O O O O B_place_name O B_place_name O B_date	please book a ticket form jaipur to mumbai on tuesday
O O	show alarms
O O B_transport_type O O B_transport_name I_transport_name I_transport_name I_transport_name I_transport_name B_time I_time I_time	book a train ticket on the five hundred and two in fifteen minutes
O O O O O O O O O O O O	uhh no , that is n't what i was looking for .
O O O B_game_name I_game_name	can you find animal crossing
O O O B_news_topic I_news_topic I_news_topic I_news_topic	notification regarding the new iphone release update
O O B_podcast_name I_podcast_name I_podcast_name O	please play james altucher 's podcast
O O O O O O B_artist_name I_artist_name	do i have any music by lady antebellum
O O O O O O O O O	where is dell standing in stock market right now
O O O O O O	give me a new light color
B_date I_date I_date O	twenty second april day
O O B_food_type O O O	show me chinese food near me
O O O O B_date	i saw a bulldog today
O O B_house_place I_house_place B_color_type	make the living room blue
O O O O O O O	anything would be ok with me .
O O B_media_type O O O O	bring up twitter to target customer service
O O O O B_person I_person	calendar event send invite bill malinda
O O O O O O O	i did not quite catch that .
O O B_house_place O	turn off lobby light
O O B_date I_date O O B_place_name	what is today 's weather in springfield
O O O O	please start the podcast
O O O O O B_timeofday I_timeofday I_timeofday O O	what are the scores from last night 's hockey games
O O O O O O B_place_name	what 's going on at the capitol
O O O O O O O O B_transport_type O O B_place_name	what is the estimated travel time for the train ride to orlando
O O	more light
O O O O O	thanks for doing that .
O O O O O B_date	what time do i work tomorrow
O O B_app_name B_player_setting	turn on spotify shuffle
O O O O O	what is currently breaking news
O O O O O O O O O O O O	i would like to hear your last the procedure said again .
O O O B_radio_name I_radio_name I_radio_name I_radio_name O O O	please play the local latin music channel on the radio
O B_date I_date B_event_name	cancel tomorrow 's meeting
O O O O O	turn the lights off now
O O O O O O O O O O O O O	what a wonderful song can you save what i just said for me
O O B_transport_type O O O O B_timeofday O B_time	call a taxi for me to arrive tonight at five
O O O O O	please turn off the light
O O O O O O O O	what 's the change in best buy stick
O O O O O O O O O O	what is the name of this song playing right now
O O O O	begin a new list
O O O O O B_media_type O	do i have any new facebook notifications
O O O O O O O	tell me what is on my list
O O B_house_place I_house_place O O	turn the living rooms lights off
O O O O O O O B_person	please create a new contact information about jo
O O O O O O O O O O	could you elaborate further on your answers to me .
O O O O O O O O O	will you please play the next episode of podcast
O O O O O O	can you speak a little louder
O O O O O B_event_name I_event_name O	tell me when my next doctors appointment is
O O O B_list_name O	what is my grocery list
B_player_setting I_player_setting O O	stop repeating this song
O O O O O O B_place_name O O	is there bad traffic on the highway right now
O O O O B_event_name O B_person I_person	when is my next appointment with dr smith
O O B_podcast_name I_podcast_name I_podcast_name O O O O O O	play my video game news podcast starting where i left off
O O O O O O O O O	what s on my list for the time being
O B_definition_word I_definition_word	describe rock sand
O O O O O O B_person I_person B_event_name	have i received any emails about jared 's birthday
O O O B_transport_type O O B_place_name O B_time I_time	call me a taxi to the airport at five am
O O O O B_event_name I_event_name	when is the next office meeting
O O O O O O O O B_house_place	please turn off the light in the upstairs bedroom
O O O O	Shut down the sound
O O O O O O	please can you confirm details .
O B_app_name O O O O B_radio_name I_radio_name	open sirius app and play the classical channel
O O O O O O O O O	what 's that the album is current music from
O O O O O O O O O O	could you once again rephrase me about your answers .
O O B_person I_person I_person O	what is sean connery 's birthday
O O O O O O	please can you shut off .
O O B_device_type O O B_house_place I_house_place	make my iroomba clean the living room
O O O O O O O B_place_name I_place_name	actually what is the life style of sahara desert
O O B_date I_date O O O B_business_name O	please find today 's stock prices for samsung company
O B_media_type	open audiobook
O O O O	yeah amazing response .
O O O O	a little brighter thanks
U_date O O O	today some things happened
O B_relation O O O O O B_date I_date	what friends were in popular places the last day
O O O O O O O O B_transport_type	i need to get to location call a cab
O O O O O O	i want the lights less brighter
O O O O O O O O O	i am sorry but you got that incorrectly .
O O O B_person	help me call james
O O O O O	please rectify the command .
O O O O O	what film should i watch
O B_date I_date O O O O	play today 's podcast from the mi
O O O O O O O	yeap you get your understanding exactly .
O O B_definition_word I_definition_word	what is rock sand
O O O O B_place_name	the location is my office
O O O O O O	what is my most played song
O O O B_media_type O B_general_frequency I_general_frequency I_general_frequency	give me my facebook update every three hours
O O O O O O O O O B_date I_date	what do they have going on at young circle this week
O O O O O O O	s1 , will you further explain .
O O B_device_type	switch off wemo
O O O O O O O O O O O O	it 's amazing job , thank you very much , olly .
O B_audiobook_name I_audiobook_name B_media_type	play sam harris audiobook
O O O O O O	what events are in me area
O O B_media_type O O	post a facebook status update
O O O O B_joke_type O	tell me a good doctor joke
O O O O O B_transport_type O O B_place_name I_place_name I_place_name	i need to book a train ticket from mumbai to goa
O O O O B_artist_name I_artist_name O	how many songs did michael jackson write
O O O B_color_type	color the lights red
O O O O	answer is confirmed .
O O O O O	tell me once more .
O O O	delete every event
O O B_news_topic	what is trending
O B_weather_descriptor O	its cold outside
O O O O O B_definition_word	what is the definition of session
O O O O O O	can you please shut down .
U_media_type O O O O B_business_name	tweet a disgusted face about mcdonalds
O O O B_radio_name O O O O	can you turn msnbc on in the car
O O B_business_type O B_order_type	does the restaurant have carryout
O O O O O O O	you 've got the command exactly .
O O O O O O O B_order_type	i 'm in the mood to order takeaway
O O O O O O B_transport_type O O O	i want you to book a train ticket for me
O O O O O O O B_media_type	may i know what is trending in twitter
O O O O O O	change the opacity of the color
O O B_time I_time O	cancel my eight am alarm
O O O O O	please add one plus one
O O O O	what is happening now
O O O O O O	anything is good to me .
O O O O O O O	please note on song title good tune
O B_player_setting B_audiobook_name I_audiobook_name I_audiobook_name I_audiobook_name	please restart the handmaid 's tale
O O B_transport_type O O	call a car for me
O O O B_alarm_type I_alarm_type O O B_time I_time B_date B_timeofday	send me a wake up alert at seven am tomorrow morning
O O O O	about reality in world
O O O O	it was wonderful .
O O O O O O	please would you shut up .
O O O O O O	i do n't get this .
O O O O O O B_place_name	give the shortest route to the airport
O O O O O O O O	give me the release date of this song
O O O O O	fantastic response to command .
O O O O O O O B_date I_date I_date	what day of the week is the twenty second march
O O O B_business_name O O	how far is walmart from here
O O O O O O O O O O O O O	i like this song what is it can you please repeat it once
O O O O O O O B_place_name	are there any events going on in milan
O	moderate
O O O O B_house_place O	turn lights in the room off
O O B_time I_time	quiet mode four hours
O O O O B_person	can you pull up jeff
O O O O O O O O O O O	what 's the sum of the two numbers four and six
B_player_setting I_player_setting I_player_setting O B_audiobook_name I_audiobook_name I_audiobook_name I_audiobook_name	start chapter five of physics for future presidents
O O B_event_name O B_movie_type I_movie_type	recommend a movie with justin bieber
O B_person I_person O	is brad pitt married
O O B_event_name O B_general_frequency	repeating event meeting on mondays
O O O O O O	confirm my last command please .
O O O O O O	anything is okay with me .
O B_event_name O O O O B_date	what meetings do i have next thursday
O O B_event_name I_event_name O B_date O B_time I_time	schedule a sales meeting for wednesday at eleven am
O O O O O O O	olly that is enough , cancel .
O O O	i am happy
O O O O O B_event_name I_event_name I_event_name B_time I_time I_time	can you remind me to check my clothes in a hour
O O O O	add this one also
U_media_type	facebook
O B_audiobook_name I_audiobook_name I_audiobook_name I_audiobook_name O B_app_name	play fault in our stars on audible
O B_house_place O	start house cleanup
O B_meal_type O B_date O B_place_name I_place_name	remember dinner on thursday at bistro italia
O O O O O	i want you to mute
O O O O	tell me about it
O O B_order_type I_order_type	status of take away
O B_email_address I_email_address I_email_address O O O O O	put sam@gmail dot com in my email contacts list
O O O O O O O O O O O B_place_name	get me the latest on current events going on in the world
O O O O O O O O O B_house_place	switch up the color of the lights in the house
O O O O B_time_zone	what time is it eastern
O O O O B_transport_type	can you call a taxi
O O O O O O O O	what is three hundred and four plus one
O O O O O O O O O O O O	i 'd like to hear what i have just said again .
O O O O O O O O O O O O O O O O	s1 , could you please clarify me about what you 've just said once again .
O O O	please start vacuuming
O B_business_type O O	what pubs are close
O O O O O	yeah get that correcly .
O O O O O O O B_place_name I_place_name	can you give me the time in new delhi
O O O O O O	you have gotten that exactly .
O O O B_list_name I_list_name O	add pencil to school supplies list
O O O O O B_place_name	show trains and time to ny
O O O O O O O O	i think that 's not correct answer .
O O O O O O O	add this song to my favorite list
O O	stay quiet
O O O O O O O B_device_type I_device_type	i need you to turn on the vacuum cleaner
O O B_media_type O	check my twitter notification
O O O O O	delete all events in calendar
O O O O O O B_weather_descriptor B_date	do i need to take an umbrella today
O O O O O O B_list_name O	make sure bread is on my grocery list
O O B_food_type	order a pizza
O O O O B_place_name O	mention the time in canada now
O B_movie_name O O O	is swat a good movie
O O O O O O B_business_name O O	what is the stock price of sensex right now
O O O O O O O O	you did great job , musch appreciated .
O O B_music_genre O	play the jazz station
O B_game_name O O	play solitaire with me
O O O O O O B_business_type	can i carry out with this restaurant
O O B_list_name O O O	recite the schedules of the list
O O B_device_type I_device_type	run the vacuum cleaner
O O O O O B_place_name	what 's the capital of tanzania
O O O O O	what list do i have
U_definition_word O	sanctimonious definition
O O O O B_date O B_time O O B_timeofday O O O O O B_event_name	wake me up on Friday at five in the morning i need to catch the train
O O O B_person O O O	how old was elvis when he died
O O	change lights
O O O O	turn all lights on
O O O B_change_amount I_change_amount I_change_amount	lower the lights a little more
O O B_transport_agency O O	call an uber for me
O O O O O O O O O O B_date	tell me if anything important is happening on social media today
O O O O O O B_weather_descriptor	can i go outing without any raincoat
O O O O O O O O	thank you very much for that information .
O O O O O O O O	please can you confirm last thing said .
O O O O O	please could you replay .
O O O O O O O O O	please change the color of my lights surprise me
O O	set list
U_player_setting B_audiobook_name I_audiobook_name I_audiobook_name I_audiobook_name	resume harry potter book four
O O O O O B_date	do not wake me up tomorrow
O B_business_name O O B_media_type O O O O O O O O	tell apple in a tweet that their batteries do n't hold enough charge
O O O B_definition_word I_definition_word I_definition_word	give description of statue of liberty
O O O O	open a reply message
O O O O	do n't bother .
O O O O O	i would like a joke
O O B_transport_type O B_date B_timeofday	book a taxi for tomorrow morning
O O O O O O O O O	you are star , thank you so much .
O O O O O O	is there life on other planets
O O O O O O	exact response to the command .
O O O O O O	yes you got command exactly .
O O O O O O B_business_name I_business_name I_business_name B_timeofday I_timeofday	please put in an order from red thai fpr this evening
O O O O O B_podcast_name I_podcast_name	play a podcast about latest yoga videos
O O O O O O O	brief me about my news feed stories
O O O B_media_type	play my bookmarked audiobook
O O O O O B_music_descriptor I_music_descriptor	download and save song of dangal movie
O B_alarm_type I_alarm_type O O B_date I_date	stop wake up calls for this week
O O O B_device_type	please run the vacuum
O O O O O O O	turn up the lights in here please
O O O O O O O O O O	you have done it correctly musch appreciated , olly .
O O O B_transport_type O O B_place_name	i want a train ticket to oregon
O O O	turn off sound
O O O B_business_name I_business_name O O B_order_type	where is an olive garden that does takeaway
O O O O	opinion about latest gadgets
O O O O O	what lists do i have
O O O O B_transport_type O B_place_name I_place_name	when is the next train to b street
O O O O O O B_house_place I_house_place O	turn off the lights in the living room please
O B_weather_descriptor O O O	what degree is it outside
O O O O O O O	you are helpful , musch appreciated .
O O O B_house_place O	cut off the bathroom lights
O O O O O	search for the correct game
O O O O O B_place_name I_place_name	how do i get to the mall
O O O B_device_type I_device_type I_device_type I_device_type	please turn off right side of light
O O O O O O O	can you speak it again please .
O O O O O B_transport_type O O B_place_name	can you find me a train ticket to montauk
O O O O B_list_name O	get rid of the wednesday list
O O B_transport_type O B_business_name I_business_name	request a taxi from udrive service
O O O B_place_name I_place_name I_place_name	how big is the grand canyon
O O B_order_type O	get me takeaway food
O O O O O B_event_name I_event_name I_event_name O O B_timeofday	did I set an alarm to have tablets in the noon
O O O O B_time I_time I_time I_time O	set an alarm for two hours from now please
O O O O O O O	what is the name of that song
O O O O	what song is playing
O O B_game_name I_game_name	turn on flappy bird
O O O O O O O	i would like a cup of coffee
O O O O O O O O	that 's amazing , thanks , olly .
O O B_podcast_descriptor I_podcast_descriptor O O B_podcast_name I_podcast_name O	play the next episode of the BBC tech podcast
O O O O O O O B_definition_word	give me the definition of the word fondle
O O O O O O O O O O	i would like you check and confirm it please .
O O O O O O O B_time I_time	confirm i have set an alarm for six am
O O B_game_name	lets play battleship
O O O O O O O B_place_name I_place_name	can you tell me the time in new york
O B_definition_word I_definition_word I_definition_word O	search this object 's definition
O O	start play
O B_business_type O O O B_time	what restaurant is open after midnight
O O B_time I_time I_time	go silent until three pm
O O O O O O	check if default alarm is set
O O O O B_date I_date B_list_name I_list_name O	add grocery shopping to today 's to do list
O O O B_food_type I_food_type O B_food_type O O B_food_type I_food_type	order a double bacon cheeseburger with bacon an white american cheese
O O O O O O O O O O O O	s2 , i was unclear about what you 've just said .
O O O O O O O O O	i need the lights raised can you do that
O O O O O O B_date O O O B_event_name	do i have free time next tuesday to schedule a meeting
O O O O B_food_type	what is in a curry
U_player_setting O O O O	repeat this song three times
O O O O O O B_time I_time I_time I_time I_time B_date	i need an alarm set for five hundred and thirty am tomorrow
O O O O O O O O O O O O	uhh no , you have done task all in wrong manner .
O O O O O O B_place_name I_place_name	tell me the current weather for danville il
O O O O B_person O O O O O O O O O O O O O O	send an email to peter and ask him how is he now can i do something to help him
O O O	change light colors
O O O O O O	i need one cup of coffee
O O O O	shut off the socket
O O O O O B_relation O O O O B_meal_type B_timeofday	send the following email to bro hi come down for dinner tonight
O O O	recipe for meal
O O O O O B_definition_word	how do you describe a capabara
O O B_device_type I_device_type	start the robotic vacuum
O O O O O O O B_date I_date I_date	delete the events from the calendar on twenty eighth march
O O O O O O O O	i 'd like a cup of coffee please
O O O	more volume please
O B_date O	show todays reminders
O O B_general_frequency O B_event_name I_event_name O B_time	delete the monthly recurring team meeting till june
O O O O O O O	please check and confirm the command .
O O O B_definition_word O	describe what a sphere is
O O B_relation I_relation B_personal_info I_personal_info	what is mom 's email address
O O O O O O O O B_relation	what is the email i got from my girlfriend
O O O O	turn down the sound
O O O O O O	you are helpful , appreciated .
O O O B_event_name O B_time I_time	where is my meeting at nine am
O O O B_transport_type O O O B_time I_time O O O O O B_place_name I_place_name	please call a taxi to arrive at four hundred and take me to the manor theater
O O O O O B_food_type O B_business_name	place an order for two pizzas from dominoes
O B_definition_word	define elaborate
O O O O O O O O O	thanks , that 's fantastic job , olly .
O O O O O O O O O B_place_name	what is the condition of traffic from work to home
O O O O O O O B_movie_name	what is the story of the movie titanic
O B_event_name I_event_name I_event_name	list local ongoing exhibitions
O O O O O O O O B_transport_type O B_place_name I_place_name I_place_name	what is the departure time for the next train leaving new york city
O O O B_change_amount I_change_amount I_change_amount	increase the volume to seventy percent
O O O O	erase my next event
O O O O O O O O	please turn up the lights in this room
O O O O O O O O O O B_list_name O O O B_timeofday	i want to cancel the recording i have on the dvr list for this morning
O O O O	turn off the lights
O O O O O O B_relation O O B_timeofday O B_time I_time	can you please read the my mom sent this morning at ten am
O O O B_game_name I_game_name O	let 's play space invaders together
O O O O O O B_currency_name O B_currency_name	what is the exchange rate between us and canada
O O O O O O O O O O	please will you check and confirm my last instruction .
O O O O O O O O O O O B_person	what information do you have on file in my information about bill
O O O B_joke_type O	what 's the latest joke
O O O B_transport_type O O O O O O B_place_name I_place_name	please book a taxi for me to go to the railway station
O O B_player_setting O B_media_type	can you pause the audio
O O O O B_media_type O	can i see my facebook feed
O O O O O B_food_type I_food_type	tell me the recipe for mashed potatoes
O O O	create new contact
O O O	Song next please
O O O O O O O O	what kind of event is happening around me
O O O O O O O O	will you turn the alarm off for me
O O	alarm status
O O O O O	ah it 's amazing .
O O O O B_time I_time I_time	set an alarm for seven thirty am
O O O O O O O O O B_podcast_name	i want to listen to a new podcast on healthcare
O O O O O O O O O	hey olly tell me what shops i am near
O O O O O O O B_date I_date I_date O O	what day of the week does the fifteenth of march fall on
O O O O O B_game_name I_game_name I_game_name	play me a game of tic tac toe
O O O O O B_coffee_type	i need coffee please preferably hot
O O O O O O O O O O	what 's one divided by plus two divided by cup
O O O B_relation O O O O O O B_meal_type B_timeofday	send email to bro and say hi come down for dinner tonight
O O O O O O	i had a long hard day
O O O O O O O O	yeah you have got your understanding perfectly .
O O O O O O	will you shut down please .
U_player_setting O B_podcast_descriptor I_podcast_descriptor	jump to next podcast
O O O O O B_house_place	lower the lights in the room
O O B_weather_descriptor O B_place_name O	is it sunny in gonbad now
O O O	reduce light intensity
B_date I_date O O O O O O O	march tenth lands on what day of the week
O B_business_type O O O O O	what restaurants around here have good reviews
O O O O O O B_radio_name I_radio_name I_radio_name	switch on the radio and play hello fm station
O O O B_date B_timeofday O B_time I_time	set alarm for tomorrow morning at six am
O B_transport_agency O B_timeofday O B_time I_time	book uber for tonight at seven pm
O O O O O O O B_business_name O	give me the opening stock price of acer computers
O O B_joke_type O O O O O	say a good joke for me right now
O O O B_date O O O	give me the weekly weather near me
O O O O O O O B_house_place	please turn down the lights in the house
O O O O O	can you empty my calendar
O O O O	please confirm details .
O O O O O	please speak quieter to me
O O O O O	open stock price for name
O O O O B_date	time and date of today
O O O O O O B_place_name	what plays are showing at the theatre
O O O O O O O O O	can anyone tell me what 's you guys discussing
O O O O	please delete the list
O O O O O O O B_business_name O	can you tell me the price of google stock
O O O	display available lists
O O B_transport_type O O B_date I_date I_date O B_place_name	book a train ticket for friday april fourteenth for boston
O B_date O O O	checkout today third set alarm
U_device_type O	outlet on
O B_person I_person B_personal_info	find jhonny 's address
O O O O O O O O	that is all , just cancel it .
O O O O O O	yes the command is confirmed .
O O O O O O O	you are my hero , appreciated .
O O B_device_type I_device_type	start the smart plug
O O O B_transport_type O O B_place_name O B_place_name O B_date	please book a train ticket from jodhpur to jaisalmer on sunday
O O B_event_name O B_date I_date	erase my appointment for march seven
O O O B_person I_person I_person	tell me about alexander the great
O O	object identifier
O O O O O O B_food_type O O O O O B_meal_type	i would like to have a sushi can you order me a lunch
O O O O O O O	what are the items on my list
O O O O O O	it 's cool , thanks .
O O O B_relation O O O O O O B_event_name	send email to mommy that i 'll be going the party
O O O O O O	what is the traffic like now
O O O O	remove my work alarm
O O O B_device_type I_device_type I_device_type	power up the plug socket one
O O O O O	can i get the time
O O O B_business_name	stock price for apple
O O O O O	look up movies near me
O O O O O	change my status to chillin
O O O O	yeap good response .
O O O O O O O O O	how are the top ten stocks at the moment
O O O O O O O O O O	how do i get the answer to two plus two
O O O O O O O O O O O O O	s1 , will you please further explain me about what you said .
O O O B_device_type I_device_type	please start the coffee pot
O O O O O O B_timeofday	book ticket to depart in the morning
O O O O B_transport_type O O B_place_name O O	can you book a train ticket to berkeley for me
O O O O O O O O	tell them that their lines were too long
O O O O O B_person	send a confirmation email to sandy
O O O O O O B_definition_word I_definition_word	give me the description of a smartphone circuit
O O O	new exchange rate
O O B_date O B_time I_time	set alarm tomorrow at six am
O O O O O O	will you dim all the lights
